Name,Title,Website URL,Wikipedia URL,Facebook URL,Instagram URL,LinkedIn URL,Bio Short,Bio,Featured Image URL
AgeFlow Labs,Wearable to measure real-time inflammatory markers,,,,,,,In development for at-home CRP, IL-6, etc. testing,"AgeFlow Labs wants to help older adults track chronic inflammation, a hallmark of aging, from daily readings.",
MyoGenX,Concentrates on sarcopenia and muscle regeneration,,,,,,,Has pipeline for myostatin inhibitors,"MyoGenX researches novel molecules to build muscle mass, offsetting sarcopenia in older populations.",
Alume Biosciences,Precision imaging and therapy for age-related cancers,https://www.alumebiosciences.com,,,,,,Develops molecular imaging agents for surgical oncology,"Alume’s approach can help older cancer patients by precisely guiding tumor removal.",
RetroSense 2.0,Startup continuing work after Allergan’s acquisition,,,,,,,Focuses on optogenetics for vision restoration,"RetroSense used optogenetics to restore retinal function, with potential applications for older adults with vision loss.",
Nuchin Labs,Studies the role of nutraceutical synergy in aging,,,,,,,Tests combining vitamins, minerals, and phytochemicals,"Nuchin Labs systematically tests combos of known compounds to see synergy in age biomarkers.",
Pro-Gero Therapeutics,Combination therapy (metformin + rapamycin + ???),,,,,,,Seeks FDA approval for multi-drug anti-aging combos,"Pro-Gero aims to standardize a safe, effective “triple therapy” approach for aging.",
NetraMark Longevity,AI modeling for older adult clinical trials,,,,,,,Uses machine learning to stratify elderly populations,"NetraMark helps identify subgroups that respond best to certain anti-aging treatments.",
Dorian Labs,Epigenetic reprogramming spinoff from a major institute,,,,,,,Named after “Dorian Gray,” reversing cell age,"Dorian Labs aims to use partial Yamanaka factors to roll back epigenetic changes in aging cells.",
Symmetry Health Aging,Telehealth platform specializing in older patients,,,,,,,Focuses on geriatric telemedicine and chronic disease management,"Symmetry offers at-home monitoring devices and teleconsultations tailored for the elderly.",
NexImmune Age,Division focusing on immunotherapies for older populations,https://www.neximmune.com,,,,,,Adapts T-cell technology for seniors’ immune systems,"NexImmune Age modifies T-cell “nanogamers” to function robustly in older immune environments.",
SinoStem Aging,Chinese-based stem cell bank for anti-aging therapies,,,,,,,Provides HSC and MSC banking for future treatments,"SinoStem Aging collects and stores adult stem cells for potential future therapies.",
RepleniX Geriatrics,Supplement brand for geriatric nutrient formulas,,,,,,,Sells advanced multivitamins geared to seniors,"RepleniX includes specialized nutrients for bone density, eye health, and cognition.",
NeuroReserve,Brain health supplements for aging,https://neuroreserve.com,,,,,,Targets cognitive decline with evidence-based nutrients,"NeuroReserve develops stacks of vitamins, minerals, and compounds aligned with MIND diet research.",
Aiscient Health,AI-based coaching for older adults,,,,,,,Recommends personalized exercise and diet,"Aiscient uses data from wearables and medical records to design custom interventions to slow aging.",
VitaGut,Pre- and probiotics brand for longevity,,,,,,,Formulates specialized combos of bacteria, prebiotics,"VitaGut claims to reduce inflammation and support digestion in older individuals.",
DexCare Elderly,Management software for geriatric care providers,,,,,,,Streamlines appointments, medication scheduling,"DexCare Elderly helps coordinate multiple specialists and prescriptions for older adults.",
Infinant Health Aging,Branch focusing on infant-to-elder microbe transitions,https://www.infinanthealth.com,,,,,,Investigates how early microbiome changes affect old age,"Infinant explores whether early gut microbes have protective aging effects.",
Extend Biosciences,Extends half-life of peptides for aging therapies,https://extendbio.com,,,,,,Uses proprietary scaffold to lengthen drug circulation,"Extend Biosciences modifies peptides to maintain stable blood levels, beneficial for older patients’ compliance.",
SnowGen Age,Investigates cold exposure mimetics (browning fat),,,,,,,Looks to replicate beneficial effects of cold therapy,"SnowGen aims to develop a pill that triggers brown fat activation, which could improve metabolism in older adults.",
Epinome,Epigenetic biomarker discovery for aging,,,,,,,Uses big data to find novel methylation sites,"Epinome is building a next-gen epigenetic clock with multiple tissue specificity.",
Microharvest Longevity,Fermented proteins for older adult nutrition,,,,,,,Produces high-protein powders from microbes,"Microharvest addresses muscle mass decline by offering easy-to-digest protein for seniors.",
AgeWell AI,NLP-based approach for reviewing geriatric research,,,,,,,Automates systematic reviews of longevity literature,"AgeWell AI scans thousands of research papers to find patterns or potential therapeutic leads.",
SenCell Tech,CRISPR gene knockout for senescent cell surface markers,,,,,,,Develops CRISPR-based senolytics that detect senescent cell markers,"SenCell Tech uses a guide-RNA library to precisely kill senescent cells that express unique surface markers.",
iLongev,Wearable plus telehealth integration for older adults,,,,,,,Offers complete remote monitoring solution,"iLongev merges continuous vitals tracking with telemedicine consults specifically for geriatric care.",
Yuva Biosciences,Mitochondrial health for skin and hair rejuvenation,https://yuvabio.com,,,,,,Targets mitochondria to reduce aging signs in skin,"Yuva Biosciences aims to boost mitochondrial function, improving hair growth and skin elasticity.",
Orono Therapeutics,Drug delivery systems for older patients,,,,,,,Designs nanoparticle carriers for reduced side effects,"Orono focuses on nanoparticle-based delivery that’s safer for older patients with comorbidities.",
GeroHero,Gamification of healthy aging behaviors,,,,,,,Offers an app that rewards seniors for healthy choices,"GeroHero’s platform encourages older adults to follow exercise, diet, and mindfulness routines.",
EverYouth Lab,Investigates synergy of yoga, meditation, and supplements,,,,,,,Combines Eastern and Western approaches to longevity,"EverYouth Lab monitors biomarkers in participants practicing combined mind-body interventions.",
Longevity XPrize,Proposed prize for breakthroughs in human healthspan,,,,,,,Aims to reward major achievements in extending healthy life,"Though not officially launched, the concept is to mimic other XPrizes to spur radical innovation in aging.",
GeneSpark,Gene therapy focusing on cognition in older adults,,,,,,,Hopes to boost neurotrophic factors via gene editing,"GeneSpark aims to enhance BDNF or NGF levels in the aging brain.",
Pan-Cancer Ageing Consortium,International collaboration on cancer & aging interplay,,,,,,,Studies how cancer incidence relates to aging,"Explores how aging processes increase cancer risk and how to intervene.",
Spartic Lifescience,CRISPR-based approach to muscle regeneration,,,,,,,Editing genes involved in muscle atrophy,"Spartic tries to knock out negative regulators like myostatin in adult muscle to maintain strength.",
InfinImmune,Targeting immunometabolism for older adults,,,,,,,Develops therapies adjusting T-cell metabolism,"InfinImmune attempts to reprogram older T-cells to function like younger ones.",
GeroCatalysis,Searching for small molecules that catalyze repair processes,,,,,,,Focuses on regenerative catalysis in aged tissues,"GeroCatalysis screens for catalysts that enhance natural repair mechanisms in older cells.",
VitaRx,Subscription-based nutrition for seniors,,,,,,,Offers monthly curated vitamins, focusing on aging needs,"VitaRx ensures older adults receive essential micronutrients tailored to them.",
Dechron Labs,Investigates advanced glycation end-product detection,,,,,,,Creates sensors for measuring crosslink accumulation,"Dechron Labs’ technology identifies AGEs in blood samples, guiding anti-glycation therapies.",
Enhansa Health Aging,Supplements blending turmeric extracts + compounds,,,,,,,Focuses on chronic inflammation reduction in seniors,"Enhansa Health Aging offers potent anti-inflammatory blends for older adults.",
OmniSoma,Tissue engineering solutions for atrophic tissues,,,,,,,Provides scaffolds that encourage regrowth of lost tissues,"OmniSoma is developing biomaterials to fill muscle or bone deficits in advanced age.",
BioFactorial,Exploratory study of polydrug anti-aging regimens,,,,,,,Tests metformin, rapamycin, Acarbose, etc. combos,"BioFactorial systematically evaluates synergy among known geroprotectors in mouse models.",
Mello Health Longevity,Mindfulness platform targeting stress as an aging factor,,,,,,,Provides meditation, breathwork app to older adults,"Mello Health’s approach is to lower cortisol and chronic stress, potentially slowing aging.",
Eden Tissue Regeneration,Focuses on wound healing in older adults,,,,,,,Creates advanced wound dressings with pro-regenerative factors,"Eden Tissue Regeneration helps older patients recover more quickly from chronic wounds.",
CogniZen Neuroscience,Memory enhancement for 60+ population,,,,,,,Develops nootropics specialized for age-related decline,"CogniZen aims to preserve working memory, executive function, and reduce mild cognitive impairment.",
HelioNAD,Focus on photobiomodulation and NAD+ synergy,,,,,,,Uses light therapy with NAD+ boosters,"HelioNAD believes combined red light therapy and NAD+ supplementation can rejuvenate cells.",
Inara Tech,AI-based platform for integrative longevity recommendations,,,,,,,Suggests lifestyle, supplement, and therapy combos,"Inara Tech aggregates wearable data, lab results, and user feedback to optimize healthy aging regimens.",
Chronofuse,Blood plasma exchange system for home use,,,,,,,Develops small-scale apheresis for partial plasma exchange,"Chronofuse seeks to replicate “young blood” benefits by removing old plasma factors.",
AgeBioBank,Collects and stores tissues from extremely old individuals,,,,,,,Aims to study supercentenarians’ cells, genetics, epigenetics,"AgeBioBank compiles samples from people aged 105+ to uncover unique longevity clues.",
BioCor Lifespan,Runs longevity clinical trials and data registry,,,,,,,Maintains a database of older volunteers for trials,"BioCor organizes multi-site trials testing interventions to extend healthy lifespan.",
EpigeneRx,Epigenetic editing for age-related gene expression,,,,,,,Seeks to precisely modify methylation patterns,"EpigeneRx is developing CRISPR/dCas9-based epigenetic writers/erasers for aging genes.",
Sarissa Diagnostics,Biomarker-based approach to stroke risk in aging,https://www.sarissadiagnostics.com,,,,,,Makes point-of-care tests for stroke detection,"Sarissa’s products help identify early stroke biomarkers, critical for older adults’ outcomes.",
Zenus Lifecare,Anti-anxiety solutions for older adults,,,,,,,Focuses on mental well-being in geriatric populations,"Zenus Lifecare addresses anxiety and depression that can accelerate physical aging.",
ReNAD+,NAD+ restoration spin-off from a major research lab,,,,,,,Investigates advanced NAD+ precursor formulations,"ReNAD+ aims to deliver stable, more bioavailable NAD+ boosters to older tissues.",
GlycaNov,Glycation-breaking agents for diabetic older adults,,,,,,,Targets advanced glycation from chronic hyperglycemia,"GlycaNov’s pipeline focuses on diabetic complications that accelerate aging, like kidney disease and retinopathy.",
MorphoBio,Tissue remodeling for frailty,,,,,,,Provides mild regenerative therapies targeting frailty,"MorphoBio’s focus is on sarcopenia, bone density, and general frailty solutions.",
VitalCheck AI,Predictive analytics for sudden geriatric health events,,,,,,,Alerts older adults to potential hospitalizations,"VitalCheck AI monitors patterns in vitals to foresee acute events in seniors.",
EverDelta,Startup exploring partial reprogramming for spinal issues,,,,,,,Seeks to reduce degenerative disc disease with epigenetic resets,"EverDelta aims to reprogram spinal disc cells, relieving chronic back pain in older adults.",
Senexis Reborn,Blood-based senescence markers for consumer tests,,,,,,,Develops at-home kits for measuring senolytic therapy success,"Senexis Reborn lets individuals monitor changes in senescent cell burden from interventions.",
GeroMimetics,Develops “mimetics” of beneficial stress pathways (heat shock, etc.),,,,,,,Hopes to harness hormetic triggers without the actual stress,"GeroMimetics is screening small molecules that activate protective responses like heat shock proteins."
